,age,gender,country,mental_health,family_history,treatment,self_employed,work_interfere,no_employees,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,coworkers,obs_neg_response,obs_pos_response,mental_vs_physical,mental_health_interview,physical_importance,mental_importance,supervisor,neg_consequence_coworker,age_range
88,35.0,female,Mongolia,Possibly,No,no,no,Not applicable to me,More than 1000,no,yes,Yes,yes,Yes,I don't know,Somewhat easy,Maybe,Maybe/Not sure,"Yes, I experienced",Physical health,Maybe,10.0,7.0,Yes,Maybe,26-42
89,46.0,male,United States of America,Possibly,I don't know,yes,no,Sometimes,More than 1000,no,yes,Yes,yes,Yes,Yes,Somewhat easy,Maybe,No,"Yes, I observed",Physical health,No,8.0,8.0,Maybe,Yes,43-100
90,54.0,female,United States of America,Yes,Yes,yes,no,Rarely,100-500,yes,yes,Yes,yes,I don't know,I don't know,Somewhat easy,Maybe,"Yes, I experienced","Yes, I experienced",Physical health,No,9.0,7.0,Yes,Maybe,43-100
91,33.0,male,India,No,No,no,no,Not applicable to me,500-1000,no,I don't know,No,no,No,I don't know,Somewhat easy,Maybe,No,No,Same level of comfort for each,Yes,5.0,5.0,Maybe,No,26-42
92,40.0,female,India,No,I don't know,no,no,Not applicable to me,100-500,yes,no,No,no,No,No,Difficult,Yes,"Yes, I observed",No,Physical health,No,7.0,2.0,No,No,26-42
93,23.0,female,Serbia,Don't Know,No,no,no,Not applicable to me,100-500,no,I don't know,No,yes,Yes,Yes,Neither easy nor difficult,Yes,No,No,Physical health,No,9.0,6.0,Yes,No,22-25
94,32.0,male,United States of America,Possibly,Yes,no,no,Not applicable to me,500-1000,yes,I don't know,No,no,No,I don't know,Neither easy nor difficult,No,"Yes, I observed",No,Physical health,No,5.0,4.0,Maybe,Yes,26-42
95,26.0,female,United States of America,Possibly,Yes,yes,no,Rarely,More than 1000,yes,yes,Yes,yes,Yes,Yes,Difficult,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,Maybe,8.0,8.0,No,No,26-42
96,30.0,male,Germany,No,No,no,no,Not applicable to me,More than 1000,no,yes,No,yes,No,Yes,Somewhat easy,Maybe,No,Maybe/Not sure,Physical health,No,9.0,8.0,Yes,Yes,26-42
97,30.0,male,India,No,No,no,no,Often,More than 1000,yes,no,No,yes,I don't know,I don't know,Very easy,No,No,No,Same level of comfort for each,Yes,6.0,6.0,Maybe,No,26-42
98,44.0,male,United States of America,Yes,No,yes,no,Sometimes,26-100,yes,yes,No,yes,No,Yes,Somewhat easy,Maybe,Maybe/Not sure,"Yes, I observed",Same level of comfort for each,Maybe,9.0,7.0,Maybe,Maybe,43-100
99,37.0,male,United States of America,No,No,yes,no,Not applicable to me,100-500,yes,no,No,I don't know,I don't know,I don't know,Somewhat difficult,No,"Yes, I observed",Maybe/Not sure,Physical health,No,8.0,5.0,No,No,26-42
100,37.0,male,India,Don't Know,No,no,no,Rarely,More than 1000,yes,I don't know,No,no,No,No,Somewhat easy,Yes,No,"Yes, I observed",Same level of comfort for each,No,5.0,5.0,Yes,Maybe,26-42
101,29.0,female,Brazil,Don't Know,No,no,no,Not applicable to me,500-1000,yes,yes,No,yes,No,I don't know,I don't know,No,"Yes, I observed",No,Physical health,No,5.0,2.0,No,Maybe,26-42
102,39.0,male,United States of America,No,I don't know,yes,no,Never,26-100,yes,yes,No,no,No,I don't know,Very easy,No,No,Maybe/Not sure,Physical health,No,8.0,8.0,Yes,Maybe,26-42
103,20.0,male,Spain,Yes,No,yes,no,Sometimes,6-25,yes,I don't know,No,no,I don't know,I don't know,Very easy,No,No,"Yes, I experienced",Same level of comfort for each,No,10.0,10.0,Maybe,No,18-21
104,44.0,male,United States of America,Don't Know,No,no,no,Not applicable to me,100-500,yes,I don't know,No,no,I don't know,I don't know,Neither easy nor difficult,No,"Yes, I observed",Maybe/Not sure,Physical health,No,0.0,0.0,No,No,43-100
105,23.0,male,Egypt,Don't Know,No,no,no,Not applicable to me,26-100,yes,no,Yes,no,No,No,I don't know,Maybe,"Yes, I observed",No,Physical health,No,5.0,2.0,No,Maybe,22-25
106,22.0,female,United States of America,No,Yes,no,no,Not applicable to me,More than 1000,yes,yes,No,yes,Yes,Yes,Very easy,Maybe,No,Maybe/Not sure,Physical health,Maybe,10.0,10.0,Yes,No,22-25
107,31.0,female,United States of America,No,No,no,no,Not applicable to me,More than 1000,yes,I don't know,No,no,Yes,I don't know,I don't know,No,No,No,Physical health,No,8.0,8.0,No,No,26-42
108,59.0,male,United States of America,Yes,I don't know,yes,no,Sometimes,26-100,no,yes,Yes,yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe/Not sure,Physical health,Maybe,7.0,6.0,Maybe,No,43-100
109,30.0,female,India,No,No,no,no,Not applicable to me,More than 1000,no,no,No,yes,Yes,Yes,Somewhat difficult,No,No,Maybe/Not sure,Physical health,No,10.0,10.0,No,No,26-42
110,48.0,female,United States of America,Yes,Yes,yes,no,Rarely,26-100,no,yes,Yes,yes,No,Yes,Somewhat easy,Maybe,"Yes, I observed","Yes, I observed",Physical health,Yes,6.0,7.0,Yes,No,43-100
111,30.0,female,India,Don't Know,No,yes,no,Sometimes,More than 1000,yes,I don't know,No,I don't know,I don't know,Yes,Somewhat difficult,No,"Yes, I observed","Yes, I observed",Physical health,Maybe,8.0,2.0,No,Yes,26-42
112,23.0,male,Germany,No,No,no,no,Not applicable to me,More than 1000,yes,yes,Yes,no,No,Yes,Neither easy nor difficult,No,No,"Yes, I observed",Physical health,No,7.0,4.0,No,Maybe,22-25
113,27.0,male,United States of America,No,No,no,no,Not applicable to me,500-1000,no,yes,No,no,No,Yes,Somewhat easy,No,No,No,Physical health,No,5.0,3.0,No,No,26-42
114,53.0,female,United States of America,Possibly,Yes,yes,no,Sometimes,26-100,yes,I don't know,No,no,No,I don't know,Somewhat difficult,Maybe,"Yes, I experienced",No,Physical health,No,7.0,5.0,No,Yes,43-100
115,62.0,male,United States of America,No,No,no,no,Not applicable to me,500-1000,no,I don't know,No,no,I don't know,I don't know,Somewhat easy,Maybe,Maybe/Not sure,Maybe/Not sure,Physical health,No,7.0,6.0,Maybe,Maybe,43-100
116,32.0,male,United States of America,Possibly,Yes,yes,no,Often,More than 1000,yes,yes,Yes,no,I don't know,I don't know,Difficult,Yes,"Yes, I experienced","Yes, I experienced",Physical health,Maybe,7.0,7.0,Maybe,No,26-42
117,34.0,male,India,No,No,yes,no,Not applicable to me,More than 1000,yes,no,No,no,No,I don't know,I don't know,Yes,No,No,Physical health,No,7.0,0.0,Maybe,Yes,26-42
118,29.0,male,India,Possibly,Yes,no,no,Rarely,More than 1000,no,I don't know,No,no,No,I don't know,Somewhat easy,No,No,No,Physical health,No,8.0,4.0,No,No,26-42
119,32.0,female,India,Don't Know,No,no,no,Not applicable to me,More than 1000,no,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,No,Physical health,No,7.0,6.0,Yes,Maybe,26-42
120,46.0,male,Brazil,Don't Know,No,no,no,Not applicable to me,500-1000,no,no,No,no,No,Yes,Somewhat easy,Yes,No,No,Same level of comfort for each,Yes,5.0,4.0,Yes,Maybe,43-100
121,42.0,male,Netherlands,Yes,Yes,yes,no,Rarely,More than 1000,yes,no,No,no,No,No,Very easy,Yes,Maybe/Not sure,"Yes, I experienced",Same level of comfort for each,Yes,2.0,3.0,Yes,No,26-42
122,32.0,male,Ukraine,Possibly,I don't know,yes,no,Not applicable to me,26-100,yes,no,No,no,No,No,Somewhat difficult,Maybe,"Yes, I experienced","Yes, I experienced",Physical health,Maybe,8.0,5.0,No,Maybe,26-42
123,28.0,male,Iceland,Yes,Yes,yes,no,Rarely,More than 1000,no,I don't know,Yes,no,I don't know,I don't know,Very easy,Maybe,Maybe/Not sure,"Yes, I observed",Same level of comfort for each,Maybe,7.0,4.0,Yes,No,26-42
124,45.0,male,United States of America,Yes,Yes,yes,no,Sometimes,6-25,yes,no,No,yes,I don't know,Yes,Very easy,No,No,"Yes, I observed",Physical health,No,10.0,10.0,Yes,No,43-100
125,29.0,female,Spain,No,No,yes,no,Not applicable to me,26-100,yes,no,No,no,I don't know,Yes,Somewhat easy,Yes,Maybe/Not sure,"Yes, I observed",Same level of comfort for each,No,4.0,3.0,Maybe,No,26-42
126,27.0,male,Colombia,Possibly,No,yes,no,Sometimes,More than 1000,no,yes,Yes,yes,No,I don't know,I don't know,No,Maybe/Not sure,Maybe/Not sure,Physical health,No,7.0,6.0,No,Yes,26-42
127,47.0,male,Netherlands,Possibly,No,yes,no,Rarely,6-25,yes,no,No,no,No,I don't know,Very easy,Yes,No,Maybe/Not sure,Same level of comfort for each,No,5.0,5.0,Yes,No,43-100
128,24.0,female,Philippines,Don't Know,I don't know,no,no,Not applicable to me,100-500,yes,I don't know,No,yes,Yes,I don't know,Very easy,No,"Yes, I observed","Yes, I observed",Physical health,Yes,10.0,10.0,Maybe,No,22-25
129,32.0,female,United States of America,Yes,Yes,yes,no,Often,More than 1000,no,yes,Yes,no,Yes,I don't know,I don't know,No,"Yes, I experienced",Maybe/Not sure,Physical health,Maybe,5.0,5.0,No,Maybe,26-42
130,26.0,male,United States of America,No,I don't know,no,no,Not applicable to me,100-500,no,yes,Yes,yes,No,I don't know,Somewhat easy,Yes,No,"Yes, I observed",Same level of comfort for each,No,8.0,7.0,No,No,26-42
